Timestamp (UTC),Charging State,Usable Battery Level (%),Battery Range (mi),Ideal Battery Range (mi),Charge Rate (mph),Charger Current (A),Charger Phases,Charger Power (kW),Charger Voltage (V)
"2026-05-06 17:18:55","Disconnected","79","258.5551",,,"0",,"0","2"
"2026-05-06 17:20:47","Disconnected","79","258.5551",,,"0",,"0","2"
"2026-05-06 17:21:40","Disconnected","79","258.5551",,,"0",,"0","2"
"2026-05-06 17:21:47","Disconnected","79","258.5551",,,"0",,"0","2"
"2026-05-06 17:25:13","Disconnected","79","258.38614",,,"0",,"0","2"
"2026-05-06 20:54:26","Disconnected","79","258.38614",,,"0",,"0","2"
"2026-05-06 20:55:08","Disconnected","79","258.38614",,,"0",,"0","2"
"2026-05-06 20:55:14","Disconnected","79","258.38614",,,"0",,"0","2"
"2026-05-06 20:55:46","Disconnected","79","258.38614",,,"0",,"0","2"
"2026-05-06 20:56:47","Disconnected","79","258.21713",,,"0",,"0","2"
"2026-05-06 20:57:17","Disconnected","79","258.04816",,,"0",,"0","2"
"2026-05-06 20:57:31","Disconnected","79","258.04816",,,"0",,"0","2"
"2026-05-06 20:57:39","Disconnected","79","258.04816",,,"0",,"0","2"
"2026-05-06 20:58:09","Disconnected","79","257.87918",,,"0",,"0","2"
"2026-05-06 20:58:39","Disconnected","79","257.87918",,,"0",,"0","2"
"2026-05-06 20:59:09","Disconnected","79","257.20322",,,"0",,"0","2"
"2026-05-06 20:59:39","Disconnected","79","257.20322",,,"0",,"0","2"
"2026-05-06 21:00:09","Disconnected","79","256.86523",,,"0",,"0","2"
"2026-05-06 21:00:39","Disconnected","78","256.86523",,,"0",,"0","2"
"2026-05-06 21:01:08","Disconnected","78","256.02026",,,"0",,"0","2"
"2026-05-06 21:01:55","Disconnected","78","256.02026",,,"0",,"0","2"
"2026-05-06 21:02:14","Disconnected","78","256.02026",,,"0",,"0","2"
"2026-05-06 21:02:44","Disconnected","78","255.6823",,,"0",,"0","2"
"2026-05-06 21:03:14","Disconnected","78","255.6823",,,"0",,"0","2"
"2026-05-06 21:03:44","Disconnected","78","255.25981",,,"0",,"0","2"
"2026-05-06 21:04:24","Disconnected","78","255.25981",,,"0",,"0","2"
"2026-05-06 21:04:52","Disconnected","78","255.25981",,,"0",,"0","2"
"2026-05-06 21:05:22","Disconnected","78","255.09082",,,"0",,"0","2"
"2026-05-06 21:05:52","Disconnected","78","255.09082",,,"0",,"0","2"
"2026-05-06 21:06:22","Disconnected","78","254.66835",,,"0",,"0","2"
