Timestamp (UTC),Latitude,Longitude,Shift State,Odometer (mi),Speed (mph)
"2026-05-06 17:18:55","29.727903","-95.821335","P","4376.6704","0"
"2026-05-06 20:57:31","29.727903","-95.821335","D","4376.6704","0"
"2026-05-06 20:57:39","29.727879","-95.82135","D","4376.6704","1"
"2026-05-06 20:58:09","29.726732","-95.82206","D","4376.681","18"
"2026-05-06 20:58:39","29.725145","-95.82051","D","4376.842","16"
"2026-05-06 20:59:09","29.720324","-95.82247","D","4377.0273","44"
"2026-05-06 20:59:39","29.716673","-95.82459","D","4377.388","8"
"2026-05-06 21:00:09","29.714754","-95.82126","D","4377.586","47"
"2026-05-06 21:00:39","29.714624","-95.815","D","4377.941","39"
"2026-05-06 21:01:08","29.714731","-95.81459","D","4378.2363","0"
"2026-05-06 21:01:55","29.714731","-95.81459","D","4378.2363","0"
"2026-05-06 21:02:14","29.714756","-95.814514","D","4378.2363","1"
"2026-05-06 21:02:44","29.716394","-95.81168","D","4378.248","1"
"2026-05-06 21:03:14","29.713247","-95.80782","D","4378.4463","41"
"2026-05-06 21:03:44","29.712","-95.80634","D","4378.7793","0"
"2026-05-06 21:04:24","29.712","-95.80634","D","4378.8975","0"
"2026-05-06 21:04:52","29.711979","-95.80632","D","4378.8975","1"
"2026-05-06 21:05:22","29.714771","-95.80263","D","4378.9126","45"
"2026-05-06 21:05:52","29.716093","-95.79733","D","4379.2393","35"
"2026-05-06 21:06:22","29.716578","-95.79301","D","4379.577","31"
"2026-05-06 21:06:52","29.716","-95.79102","D","4379.836","28"
"2026-05-06 21:07:22","29.71395","-95.79106","D","4380.0195","21"
"2026-05-06 21:07:52","29.712372","-95.79172","D","4380.1626","9"
"2026-05-06 21:08:22","29.712454","-95.791695","D","4380.268","0"
"2026-05-06 21:08:53","29.712454","-95.791695","D","4380.279","0"
"2026-05-06 21:09:01","29.712454","-95.791695","P","4380.279","0"
"2026-05-06 23:57:06","29.712454","-95.791695","D","4380.279","0"
"2026-05-06 23:57:09","29.712467","-95.791725","D","4380.279","1"
"2026-05-06 23:57:39","29.714539","-95.79078","D","4380.29","17"
"2026-05-06 23:58:09","29.717184","-95.791336","D","4380.5073","5"
"2026-05-06 23:58:39","29.716303","-95.7967","D","4380.6714","46"
"2026-05-06 23:59:09","29.715532","-95.80186","D","4381.0435","45"
"2026-05-06 23:59:39","29.71203","-95.80623","D","4381.3647","19"
"2026-05-07 00:00:09","29.715643","-95.81045","D","4381.713","45"
"2026-05-07 00:00:39","29.716244","-95.81114","D","4382.0635","1"
"2026-05-07 00:01:09","29.715515","-95.81344","D","4382.087","12"
"2026-05-07 00:01:31","29.715515","-95.81344","R","4382.2695","12"
"2026-05-07 00:01:39","29.715883","-95.813835","R","4382.2695","2"
"2026-05-07 00:01:49","29.715883","-95.813835","P","4382.3037","2"
"2026-05-07 00:48:54","29.715883","-95.813835","D","4382.3037","0"
"2026-05-07 00:49:05","29.715878","-95.81388","D","4382.3037","1"
"2026-05-07 00:49:35","29.715551","-95.8145","D","4382.315","7"
"2026-05-07 00:50:05","29.720371","-95.81682","D","4382.4053","48"
"2026-05-07 00:50:35","29.725655","-95.81794","D","4382.8003","48"
"2026-05-07 00:51:05","29.726412","-95.81917","D","4383.1675","0"
"2026-05-07 00:51:35","29.726526","-95.82177","D","4383.2524","29"
"2026-05-07 00:52:05","29.727457","-95.82168","D","4383.4565","18"
"2026-05-07 00:52:24","29.727457","-95.82168","R","4383.5337","18"
"2026-05-07 00:52:35","29.72779","-95.8214","R","4383.5337","2"
"2026-05-07 00:53:05","29.727816","-95.82139","R","4383.5654","0"
"2026-05-07 00:53:40","29.727816","-95.82139","R","4383.5654","0"
"2026-05-07 00:53:46","29.727816","-95.82139","P","4383.5654","0"
"2026-05-07 00:54:22","29.727816","-95.82139","R","4383.5654","0"
"2026-05-07 00:54:27","29.727846","-95.82137","R","4383.5654","1"
"2026-05-07 00:54:36","29.727846","-95.82137","P","4383.5757","1"
"2026-05-07 00:54:57","29.727903","-95.82134","P","4383.5757","0"
"2026-05-07 01:15:34","29.7279","-95.82134","P","4383.579","0"
"2026-05-07 01:59:56","29.727896","-95.82134","P","4383.579","0"
